Strike,Maturity,Call,Put,Moneyness
80,0.25,21.0213,0.0275,ITM
80,0.5,22.1746,0.1994,ITM
80,1.0,24.5888,0.6872,ITM
80,2.0,29.1202,1.5072,ITM
90,0.25,11.6701,0.5521,ITM
90,0.5,13.4985,1.2764,ITM
90,1.0,16.6994,2.3101,ITM
90,2.0,22.0334,3.4687,ITM
95,0.25,7.7144,1.5343,ITM
95,0.5,9.8727,2.5272,ITM
95,1.0,13.3465,3.7133,ITM
95,2.0,18.9251,4.8847,ITM
100,0.25,4.615,3.3728,ATM
100,0.5,6.8887,4.4197,ATM
100,1.0,10.4506,5.5735,ATM
100,2.0,16.1268,6.6105,ATM
105,0.25,2.4779,6.1736,OTM
105,0.5,4.5817,6.9892,OTM
105,1.0,8.0214,7.9004,OTM
105,2.0,13.6396,8.6475,OTM
110,0.25,1.1911,9.8247,OTM
110,0.5,2.9065,10.1906,OTM
110,1.0,6.0401,10.6753,OTM
110,2.0,11.4555,10.9876,OTM
120,0.25,0.1998,18.7091,OTM
120,0.5,1.0226,18.0598,OTM
120,1.0,3.2475,17.395,OTM
120,2.0,7.9282,16.5087,OTM
